iter	Passed	Remaining
0	142	142056
1	142	71289
2	143	47659
3	143	35844
4	144	28753
5	145	24022
6	145	20642
7	146	18132
8	146	16185
9	147	14606
10	148	13315
11	148	12237
12	149	11323
13	149	10544
14	150	9865
15	150	9273
16	151	8749
17	151	8289
18	152	7878
19	153	7519
20	154	7185
21	154	6880
22	155	6600
23	156	6347
24	156	6112
25	157	5895
26	158	5697
27	158	5508
28	159	5334
29	159	5168
30	160	5012
31	160	4865
32	161	4729
33	161	4600
34	162	4478
35	162	4363
36	163	4255
37	164	4155
38	164	4061
39	165	3970
40	165	3882
41	166	3798
42	167	3720
43	167	3643
44	168	3570
45	168	3500
46	169	3433
47	169	3370
48	170	3311
49	171	3253
50	171	3196
51	172	3141
52	172	3088
53	173	3036
54	173	2987
55	174	2939
56	174	2893
57	175	2849
58	176	2807
59	176	2767
60	177	2728
61	177	2689
62	178	2651
63	178	2614
64	179	2579
65	179	2544
66	180	2511
67	180	2478
68	181	2447
69	181	2416
70	182	2387
71	183	2361
72	184	2336
73	184	2309
74	185	2282
75	185	2257
76	186	2231
77	186	2206
78	187	2181
79	187	2158
80	188	2134
81	188	2112
82	189	2088
83	189	2067
84	190	2046
85	190	2026
86	191	2006
87	191	1986
88	192	1967
89	192	1948
90	193	1930
91	193	1912
92	194	1894
93	194	1877
94	195	1861
95	196	1846
96	196	1829
97	197	1814
98	197	1798
99	198	1783
100	198	1768
101	199	1753
102	199	1738
103	200	1724
104	200	1710
105	201	1698
106	201	1685
107	202	1672
108	203	1659
109	203	1646
110	204	1634
111	204	1622
112	205	1609
113	205	1597
114	206	1586
115	206	1574
116	207	1562
117	207	1552
118	208	1542
119	208	1531
120	209	1521
121	209	1510
122	210	1499
123	210	1489
124	211	1479
125	211	1469
126	212	1459
127	212	1450
128	213	1440
129	213	1431
130	214	1423
131	215	1415
132	215	1406
133	216	1397
134	216	1388
135	217	1380
136	217	1371
137	218	1363
138	218	1355
139	219	1347
140	219	1339
141	220	1330
142	220	1323
143	221	1316
144	222	1310
145	222	1303
146	223	1295
147	223	1288
148	224	1281
149	224	1274
150	225	1267
151	225	1260
152	226	1254
153	227	1248
154	227	1241
155	228	1235
156	228	1228
157	229	1222
158	229	1215
159	230	1209
160	230	1202
161	231	1196
162	231	1189
163	232	1183
164	232	1178
165	233	1172
166	233	1167
167	234	1161
168	235	1155
169	235	1149
170	236	1144
171	236	1138
172	237	1133
173	237	1127
174	238	1122
175	238	1117
176	239	1112
177	239	1108
178	240	1103
179	241	1097
180	241	1092
181	242	1087
182	242	1082
183	243	1078
184	243	1073
185	244	1068
186	244	1063
187	245	1059
188	245	1054
189	246	1050
190	246	1045
191	247	1040
192	247	1036
193	248	1031
194	248	1027
195	249	1022
196	249	1018
197	250	1014
198	250	1009
199	251	1006
200	252	1002
201	252	998
202	253	993
203	253	989
204	254	985
205	254	981
206	255	977
207	255	973
208	256	969
209	256	965
210	257	961
211	257	958
212	258	955
213	259	951
214	259	948
215	260	944
216	260	940
217	261	937
218	261	933
219	262	929
220	262	926
221	263	922
222	263	919
223	264	916
224	265	913
225	265	909
226	266	906
227	266	903
228	267	899
229	267	896
230	268	892
231	268	889
232	269	886
233	269	883
234	270	879
235	270	877
236	271	874
237	272	870
238	272	867
239	273	864
240	273	861
241	274	858
242	274	855
243	275	852
244	275	849
245	276	846
246	276	843
247	277	840
248	277	837
249	278	834
250	278	831
251	279	828
252	279	826
253	280	823
254	280	820
255	281	817
256	281	814
257	282	811
258	282	809
259	283	806
260	283	803
261	284	801
262	284	798
263	285	795
264	286	793
265	286	790
266	287	788
267	287	785
268	288	782
269	288	780
270	289	777
271	289	775
272	290	772
273	290	770
274	291	767
275	291	765
276	292	762
277	292	760
278	293	758
279	293	755
280	294	753
281	294	750
282	295	748
283	295	746
284	296	743
285	297	741
286	297	739
287	298	736
288	298	734
289	299	732
290	299	730
291	300	727
292	300	725
293	301	723
294	301	721
295	302	719
296	303	717
297	303	715
298	304	712
299	304	710
300	305	708
301	305	706
302	306	704
303	306	702
304	307	699
305	307	697
306	308	695
307	308	693
308	309	691
309	309	689
310	310	687
311	310	685
312	311	683
313	311	681
314	312	679
315	312	677
316	313	675
317	313	673
318	314	671
319	315	669
320	315	667
321	316	665
322	316	663
323	317	661
324	317	659
325	318	657
326	318	655
327	319	653
328	319	651
329	320	650
330	320	648
331	321	646
332	321	644
333	322	642
334	322	640
335	323	638
336	323	637
337	324	635
338	324	633
339	325	631
340	325	629
341	326	627
342	326	626
343	327	624
344	328	622
345	328	621
346	329	619
347	329	617
348	330	615
349	330	613
350	331	612
351	331	610
352	332	608
353	332	607
354	333	605
355	333	603
356	334	602
357	334	600
358	335	598
359	335	597
360	336	595
361	337	593
362	337	592
363	338	590
364	338	589
365	339	587
366	339	585
367	340	584
368	340	582
369	341	581
370	341	579
371	342	578
372	342	576
373	343	574
374	343	573
375	344	571
376	344	570
377	345	568
378	346	567
379	346	565
380	347	564
381	347	562
382	348	561
383	348	559
384	349	558
385	349	556
386	350	554
387	350	553
388	351	551
389	351	550
390	352	549
391	353	547
392	353	546
393	354	544
394	354	543
395	355	541
396	355	540
397	356	538
398	356	537
399	357	536
400	357	534
401	358	533
402	358	531
403	359	530
404	360	529
405	360	527
406	361	526
407	361	524
408	362	523
409	362	521
410	363	520
411	363	519
412	364	517
413	364	516
414	365	515
415	365	513
416	366	512
417	366	510
418	367	509
419	367	508
420	368	506
421	369	505
422	369	504
423	370	502
424	370	501
425	371	500
426	371	498
427	372	497
428	372	496
429	373	494
430	373	493
431	374	492
432	374	490
433	375	489
434	375	488
435	376	486
436	377	485
437	377	484
438	378	483
439	378	482
440	379	481
441	380	479
442	380	478
443	381	477
444	381	475
445	382	474
446	382	473
447	383	472
448	383	471
449	384	470
450	385	468
451	385	467
452	386	466
453	386	465
454	387	463
455	387	462
456	388	461
457	388	460
458	389	458
459	389	457
460	390	456
461	390	455
462	391	453
463	391	452
464	392	451
465	392	450
466	393	449
467	393	447
468	394	446
469	395	445
470	395	444
471	396	443
472	396	441
473	397	440
474	397	439
475	398	438
476	398	437
477	399	435
478	399	434
479	400	433
480	400	432
481	401	431
482	401	430
483	402	428
484	402	427
485	403	426
486	403	425
487	404	424
488	404	423
489	405	422
490	406	420
491	406	419
492	407	418
493	407	417
494	408	416
495	408	415
496	409	414
497	409	412
498	410	411
499	410	410
500	411	409
501	411	408
502	412	407
503	412	406
504	413	405
505	413	404
506	414	402
507	414	401
508	415	400
509	416	399
510	416	398
511	417	397
512	417	396
513	418	395
514	418	394
515	419	393
516	419	392
517	420	391
518	420	389
519	421	388
520	421	387
521	422	386
522	423	385
523	423	384
524	424	383
525	424	382
526	425	381
527	425	380
528	426	379
529	426	378
530	427	377
531	427	376
532	428	375
533	428	374
534	429	373
535	429	372
536	430	371
537	430	370
538	431	368
539	431	367
540	432	366
541	432	365
542	433	364
543	433	363
544	434	362
545	435	361
546	435	360
547	436	359
548	436	358
549	437	357
550	437	356
551	438	355
