iter	Passed	Remaining
0	149	149393
1	154	76902
2	156	52034
3	159	39793
4	161	32140
5	163	27009
6	164	23286
7	165	20523
8	166	18356
9	167	16597
10	168	15148
11	169	13948
12	170	12933
13	172	12137
14	173	11422
15	175	10774
16	176	10203
17	177	9693
18	178	9239
19	179	8819
20	181	8441
21	182	8099
22	183	7784
23	184	7491
24	185	7219
25	186	6969
26	186	6736
27	187	6519
28	188	6309
29	189	6113
30	189	5931
31	190	5760
32	191	5599
33	191	5446
34	192	5303
35	192	5165
36	193	5035
37	194	4912
38	194	4795
39	195	4684
40	195	4579
41	196	4480
42	197	4385
43	197	4292
44	198	4205
45	198	4120
46	199	4039
47	199	3962
48	200	3888
49	200	3817
50	201	3748
51	202	3683
52	202	3621
53	203	3562
54	203	3502
55	204	3445
56	205	3393
57	205	3341
58	206	3289
59	206	3240
60	207	3192
61	208	3147
62	208	3102
63	209	3059
64	209	3020
65	210	2978
66	211	2938
67	211	2896
68	211	2859
69	212	2823
70	213	2788
71	213	2754
72	214	2721
73	214	2688
74	215	2657
75	216	2627
76	216	2596
77	217	2567
78	217	2539
79	218	2511
80	218	2484
81	219	2457
82	220	2431
83	220	2408
84	221	2381
85	221	2357
86	222	2332
87	222	2309
88	223	2286
89	223	2264
90	224	2243
91	225	2225
92	226	2204
93	226	2184
94	227	2166
95	227	2146
96	228	2127
97	229	2108
98	229	2090
99	230	2072
100	230	2054
101	231	2034
102	231	2018
103	232	2002
104	232	1985
105	233	1968
106	234	1953
107	234	1939
108	235	1924
109	235	1908
110	236	1893
111	237	1879
112	237	1865
113	238	1851
114	238	1837
115	239	1823
116	239	1810
117	240	1798
118	240	1784
119	241	1771
120	242	1759
121	242	1747
122	243	1733
123	243	1721
124	244	1710
125	244	1698
126	245	1687
127	245	1674
128	246	1664
129	247	1654
130	247	1643
131	248	1633
132	248	1623
133	249	1612
134	250	1602
135	250	1592
136	251	1583
137	251	1572
138	252	1563
139	253	1554
140	253	1545
141	254	1536
142	254	1527
143	255	1518
144	256	1510
145	256	1501
146	257	1493
147	257	1485
148	258	1477
149	259	1468
150	259	1460
151	260	1453
152	261	1445
153	261	1437
154	262	1430
155	262	1422
156	263	1414
157	264	1407
158	264	1400
159	265	1393
160	265	1385
161	266	1378
162	267	1371
163	267	1364
164	268	1358
165	268	1351
166	269	1344
167	270	1337
168	270	1331
169	271	1324
170	271	1318
171	272	1312
172	273	1306
173	273	1299
174	274	1293
175	275	1287
176	275	1281
177	276	1275
178	276	1269
179	277	1263
180	277	1256
181	278	1250
182	278	1244
183	279	1239
184	280	1233
185	280	1227
186	281	1222
187	281	1217
188	282	1212
189	283	1206
190	283	1201
191	284	1196
192	285	1192
193	285	1186
194	286	1181
195	286	1176
196	287	1171
197	288	1166
198	288	1161
199	289	1156
200	289	1152
201	290	1147
202	290	1142
